caseid,panid,week,brand,decision,regpr,pcut,disp,feat
1,14107581,941,1,1,7.064,0,1,1
1,14107581,941,2,0,4.125,0,0,0
1,14107581,941,3,0,7.014,0,1,0
1,14107581,941,4,0,5.99,0,0,0
2,14107581,967,1,0,7.068,0.225,0,0
2,14107581,967,2,0,4.5,0.369,0,0
2,14107581,967,3,1,7.019,1.205,1,1
2,14107581,967,4,0,6.59,0,1,1
3,14107581,981,1,1,6.925,0.118,1,1
3,14107581,981,2,0,4.701,0,0,0
3,14107581,981,3,0,7.063,0,0,0
3,14107581,981,4,0,6.59,0,0,0
4,14107581,994,1,1,6.913,0,1,1
4,14107581,994,2,0,4.715,0,0,0
4,14107581,994,3,0,7.106,0.048,0,0
4,14107581,994,4,0,6.5,0,1,0
5,14107581,1006,1,0,7.195,0.19,0,0
5,14107581,1006,2,0,4.8,0.073,1,1
5,14107581,1006,3,1,7.106,0,0,0
5,14107581,1006,4,0,6.65,0,0,0
6,14112532,987,1,0,6.827,0,0,0
6,14112532,987,2,0,4.72,0,0,0
6,14112532,987,3,0,7.063,0,1,1
6,14112532,987,4,1,6.597,0.594,1,1
7,14118372,978,1,0,6.925,0.118,1,1
7,14118372,978,2,0,4.682,0,0,0
7,14118372,978,3,1,7.063,0,0,0
7,14118372,978,4,0,6.59,0,0,0
8,14124586,970,1,0,6.747,0.068,1,1
8,14124586,970,2,1,4.598,0,0,0
8,14124586,970,3,0,7.072,0,0,1
8,14124586,970,4,0,6.59,0,0,0
9,14131870,959,1,0,7.064,0,0,0
9,14131870,959,2,1,4.12,0.542,1,1
9,14131870,959,3,0,7.014,0,1,0
9,14131870,959,4,0,6.59,0,0,0
10,14131870,960,1,0,7.064,0,0,0
10,14131870,960,2,1,4.231,0.425,1,0
10,14131870,960,3,0,7.014,0,0,0
10,14131870,960,4,0,6.59,0,0,0
11,14132613,949,1,0,7.071,0.265,1,0
11,14132613,949,2,1,4.125,0,0,0
11,14132613,949,3,0,7.014,0,1,1
11,14132613,949,4,0,6.59,0,0,0
12,14132613,958,1,0,7.064,0,0,0
12,14132613,958,2,1,4.125,0,0,0
12,14132613,958,3,0,7.014,0,1,0
12,14132613,958,4,0,6.59,0,1,1
13,14132613,983,1,0,6.94,0.142,0,0
13,14132613,983,2,1,4.701,0,0,0
13,14132613,983,3,0,7.063,0,1,1
13,14132613,983,4,0,6.59,0,0,0
14,14140665,957,1,0,7.064,0,0,0
14,14140665,957,2,0,4.125,0,0,0
14,14140665,957,3,1,7.014,0,0,1
14,14140665,957,4,0,6.59,0,0,0
15,14140665,987,1,0,6.827,0,0,0
15,14140665,987,2,0,4.72,0,0,0
15,14140665,987,3,0,7.063,0,1,1
15,14140665,987,4,1,6.597,0.594,1,1
16,14140665,1005,1,0,7.198,1.217,0,0
16,14140665,1005,2,0,4.723,0,0,0
16,14140665,1005,3,1,7.058,0,1,1
16,14140665,1005,4,0,6.65,0,0,0
17,14140665,1010,1,0,7.216,0.932,0,0
17,14140665,1010,2,0,4.955,0.148,0,0
17,14140665,1010,3,1,7.783,0.391,1,1
17,14140665,1010,4,0,6.79,0,0,0
18,14141481,982,1,1,6.925,0.118,1,0
18,14141481,982,2,0,4.701,0,0,1
18,14141481,982,3,0,7.063,0,0,0
18,14141481,982,4,0,6.59,0,0,0
19,14142158,930,1,0,7.064,0,0,0
19,14142158,930,2,1,4.121,0,1,1
19,14142158,930,3,0,7.017,0,0,0
19,14142158,930,4,0,5.825,0,0,0
20,14142158,960,1,0,7.064,0,0,0
20,14142158,960,2,1,4.231,0.425,1,0
20,14142158,960,3,0,7.014,0,0,0
20,14142158,960,4,0,6.59,0,0,0
21,14142158,1001,1,0,7.095,0,0,0
21,14142158,1001,2,0,4.723,0,0,0
21,14142158,1001,3,0,7.058,0,1,1
21,14142158,1001,4,1,6.65,0,0,0
22,14143552,998,1,0,6.853,0.083,0,0
22,14143552,998,2,1,4.694,0,1,1
22,14143552,998,3,0,7.106,0.048,1,0
22,14143552,998,4,0,6.65,0,0,0
23,14143552,1018,1,0,7.6,0,1,1
23,14143552,1018,2,1,4.827,0.144,1,1
23,14143552,1018,3,0,7.803,0,0,0
23,14143552,1018,4,0,6.79,0,0,0
24,14143552,1035,1,0,7.647,0,1,1
24,14143552,1035,2,1,5.028,0,0,0
24,14143552,1035,3,0,7.803,0,0,0
24,14143552,1035,4,0,6.79,0,0,0
25,14148668,925,1,0,7.064,0,0,0
25,14148668,925,2,0,4.121,0,0,0
25,14148668,925,3,0,7.017,0,0,0
25,14148668,925,4,1,6.012,1.022,1,1
