RESPONDENT_ID,ad_id,brand,page_num,page_pos,brand_fix,pic_fix,brand_size,pic_size,recall_accu,RECALL_TIME
1,1,Armani,2,0,0,0,17.06395,74.19695,0,2.56
1,2,LOreal,5,1,1,2,4.38185,52.58685,0,1.04
1,3,Astnor,6,0,0,1,6.85565,77.6116,0,2.76
1,4,MarieJo,11,1,0,1,2.914,71.3558,0,2.8
1,5,SiSi,13,1,0,1,4.09045,52.40085,0,2.28
1,6,ClearBlue,14,0,0,2,2.2537,77.60385,0,2.32
1,7,Lancaster,17,1,2,0,2.37925,88.0896,1,2.04
1,8,Barclay,18,0,0,3,4.9166,72.6268,1,2.04
1,9,Dior,21,1,4,3,17.236,64.2072,0,2.48
1,10,Citroen,22,0,0,8,1.9902,71.15895,0,0.6
1,11,Nivea,25,1,0,0,4.54925,61.79385,1,1.04
1,12,Davidoff,26,0,2,7,1.8321,78.3742,1,2.36
1,13,Dali,29,1,2,2,6.6774,68.4728,0,1.12
1,14,Kapper,31,1,1,2,3.63475,69.7221,0,2
1,15,Alfa,32,0,1,6,2.72335,61.6156,1,2.36
1,16,Legere,35,1,2,2,14.3065,53.30915,0,3.36
1,17,Spa,40,0,0,2,11.3088,77.6488,1,2.44
1,18,Stuyvesant,43,1,1,2,4.82205,51.2554,1,0.92
1,19,Margriet,48,0,1,3,1.8817,76.23675,1,2.16
1,20,Chantelle,55,1,1,5,25.1658,80.1195,1,1.44
1,21,Kodak,69,1,4,2,4.27645,64.76365,1,1
1,22,Gilette,71,1,0,1,1.9592,75.83065,1,2.76
1,23,Silan,75,1,3,2,9.19925,64.90315,1,1.08
1,24,Fancy,76,0,0,0,4.57715,32.82435,0,2.24
1,25,Cartoon,94,0,0,1,9.38525,75.57335,0,2.68
1,26,VanderBilt,96,0,0,0,16.2781,71.25505,1,1.44
1,27,Viva,98,0,0,2,3.0659,24.0219,0,3.56
1,28,Arden,99,1,1,2,9.3124,77.62865,1,2.92
1,29,Gauloises,107,1,0,0,5.9644,77.6674,0,2.2
1,30,Appelsientje,108,0,0,2,2.0987,75.08665,1,1.56
1,31,Conimex,113,1,0,3,4.5787,55.6357,0,0.44
1,32,Corona,114,0,0,2,1.81505,84.42385,0,1.24
1,33,Daihatsu,123,1,5,4,2.9915,65.11395,1,0.84
1,34,DelMonte,125,1,1,5,7.36715,77.63175,1,1.44
1,35,Lancome,127,1,2,1,16.98025,60.2206,1,1.36
2,1,Armani,2,0,0,1,17.06395,74.19695,0,0.48
2,2,LOreal,5,1,3,2,4.38185,52.58685,1,1.56
2,3,Astnor,6,0,3,11,6.85565,77.6116,0,2.32
2,4,MarieJo,11,1,0,7,2.914,71.3558,0,2.36
2,5,SiSi,13,1,3,2,4.09045,52.40085,1,1.28
2,6,ClearBlue,14,0,0,4,2.2537,77.60385,0,2.32
2,7,Lancaster,17,1,6,8,2.37925,88.0896,1,2.8
2,8,Barclay,18,0,0,4,4.9166,72.6268,0,2.32
2,9,Dior,21,1,4,6,17.236,64.2072,0,4.04
2,10,Citroen,22,0,1,14,1.9902,71.15895,1,2.96
2,11,Nivea,25,1,3,3,4.54925,61.79385,1,0.8
2,12,Davidoff,26,0,2,8,1.8321,78.3742,1,1.76
2,13,Dali,29,1,1,11,6.6774,68.4728,1,3.8
2,14,Kapper,31,1,2,18,3.63475,69.7221,0,2
2,15,Alfa,32,0,1,7,2.72335,61.6156,1,2.52
2,16,Legere,35,1,14,14,14.3065,53.30915,1,3.32
2,17,Spa,40,0,8,16,11.3088,77.6488,1,0.88
2,18,Stuyvesant,43,1,0,1,4.82205,51.2554,0,3
2,19,Margriet,48,0,3,10,1.8817,76.23675,0,0.52
2,20,Chantelle,55,1,12,15,25.1658,80.1195,1,1.2
2,21,Kodak,69,1,3,14,4.27645,64.76365,0,2.32
2,22,Gilette,71,1,0,16,1.9592,75.83065,1,3.44
2,23,Silan,75,1,6,3,9.19925,64.90315,0,0.72
2,24,Fancy,76,0,3,5,4.57715,32.82435,1,1.48
2,25,Cartoon,94,0,3,8,9.38525,75.57335,0,2.84
2,26,VanderBilt,96,0,6,13,16.2781,71.25505,0,0.88
2,27,Viva,98,0,0,1,3.0659,24.0219,1,1.28
2,28,Arden,99,1,4,6,9.3124,77.62865,1,1.44
2,29,Gauloises,107,1,2,4,5.9644,77.6674,1,1.88
2,30,Appelsientje,108,0,3,14,2.0987,75.08665,1,1.4
2,31,Conimex,113,1,2,10,4.5787,55.6357,1,1.4
